,job title,company name,avg salary,city,state,education,technical skills,soft skills,business skills
83,Data Scientist,CyberCoders,100000.0,Boston,MA,"[""Bachelor's degree""]","['Statistical software', 'Power BI', 'Economics', 'Data mining', 'Statistics', 'SAS', 'R', 'Data analysis skills', 'Tableau', 'SQL', 'Machine learning', 'Regression analysis', 'Data visualization', 'SPSS', 'Python']",[],[]
84,Data Scientist,CyberCoders,137500.0,New York,NY,"[""Bachelor's degree""]","['Statistics', 'Writing skills', 'Python']",[],[]
85,Data Scientist,Data Society,115000.0,Remote,Remote,[],"['Data mining', 'Statistics', 'Applied Mathematics', 'R', 'Databases', 'SQL', 'Machine learning', 'Predictive analytics', 'Data visualization', 'AI', 'Python', 'Analytics']",['Communication skills'],[]
86,Data Scientist,Deloitte,94500.0,Bristol,TN,"[""Master's degree"", ""Bachelor's degree""]","['Microsoft Powerpoint', 'Microsoft Excel', 'Data mining', 'Statistics', 'Applied Mathematics', 'R', 'Tableau', 'SQL', 'Predictive analytics', 'Data visualization', 'Python']",['Communication skills'],[]
87,Data Scientist,Experian,147500.0,Costa Mesa,CA,"[""Master's degree""]","['TensorFlow', 'PyTorch', 'Spark', 'SQL', 'Machine learning', 'Python', 'Analytics']",[],[]
88,Data Scientist,Federated Hermes,87500.0,Pittsburgh,PA,"[""Master's degree"", ""Bachelor's degree""]","['Power BI', 'Data mining', 'Spark', 'Tableau', 'Analysis skills', 'Machine learning', 'Natural language processing', 'APIs', 'Regression analysis', 'Data visualization', 'Python', 'Analytics']",['Communication skills'],['Azure']
89,Data Scientist,Florida Atlantic University,95000.0,Boca Raton,FL,"[""Master's degree""]","['TensorFlow', 'Computer Science', 'EHR systems', 'PyTorch', 'NumPy', 'R', 'Git', 'Databases', 'Pandas', 'DICOM', 'Machine learning', 'GitHub', 'Regression analysis', 'Data visualization', 'Python']",['Communication skills'],[]
90,Data Scientist,Flow,150000.0,New York,NY,[],"['Statistics', 'R', 'Tableau', 'SQL', 'Analysis skills', 'Data visualization', 'Python']",[],[]
91,Data Scientist,Fresenius Kabi,90000.0,Lake Zurich,IL,"[""Bachelor's degree"", ""Bachelor's degree""]","['Data structures', 'Microsoft Office', 'Databases', 'SQL', 'Analytics', 'Data structures', 'Microsoft Office', 'Databases', 'SQL', 'Analytics']",[],[]
92,Data Scientist,GTA (Global Technology Associates),107000.0,Reston,VA,"[""Bachelor's degree""]","['Data modeling', 'Data mining', 'Business intelligence', 'Computer Science', 'Relational databases', 'R', 'Database management', 'S3', 'Data warehouse', 'Python']",[],['AWS']
