web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href,job title,skills,salary
1676423241-684,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Paid Media Specialist – Social Media & SEM,https://www.indeed.com/rc/clk?jk=8ea37489507196c6&fccid=dfd5262ab382014b&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Paid Media Specialist – Social Media & SEM,Google Ads,"$55,000 - $65,000 a year"
1676423243-685,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/rc/clk?jk=0df37388b70391d2&fccid=a566e538e3dd917c&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Marketing Specialist,Marketing,null
1676423243-686,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/rc/clk?jk=0df37388b70391d2&fccid=a566e538e3dd917c&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Marketing Specialist,SEO,null
1676423243-687,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/rc/clk?jk=0df37388b70391d2&fccid=a566e538e3dd917c&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Marketing Specialist,Pricing,null
1676423246-688,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Media Specialist,https://www.indeed.com/rc/clk?jk=011aa7892796ab72&fccid=00f214ea3206d359&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Media Specialist,Marketing,null
1676423246-689,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Media Specialist,https://www.indeed.com/rc/clk?jk=011aa7892796ab72&fccid=00f214ea3206d359&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Media Specialist,Adobe Creative Suite,null
1676423246-690,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Media Specialist,https://www.indeed.com/rc/clk?jk=011aa7892796ab72&fccid=00f214ea3206d359&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Media Specialist,WordPress,null
1676423248-691,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/rc/clk?jk=8c9c330296d8eeb8&fccid=2db8993921d985be&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Marketing Specialist,Marketing,"$60,000 a year"
1676423248-692,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/rc/clk?jk=8c9c330296d8eeb8&fccid=2db8993921d985be&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Marketing Specialist,Copywriting,"$60,000 a year"
1676423248-693,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Digital Marketing Specialist,https://www.indeed.com/rc/clk?jk=8c9c330296d8eeb8&fccid=2db8993921d985be&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Digital Marketing Specialist,SEO,"$60,000 a year"
